record,species,count,lat
519,All dark petrel (unidentified),1,-67
520,Wandering albatross sensu lato PL1,3,-64
521,Wandering albatross sensu lato PL2,3,-64
522,Wandering albatross sensu lato PL3,1,-63
523,Wandering albatross sensu lato PL4,1,-62
524,Jaeger (unidentified),1,-61
525,Tern (unidentified),1,-60
526,Wandering albatross sensu lato PL1,3,-59
527,Wandering albatross sensu lato PL2,2,-58
528,Wandering albatross sensu lato PL3,2,-57
529,Wandering albatross sensu lato PL4,1,-56
530,Cape petrel,1,-56
531,Sooty shearwater,1,-55
532,All dark petrel (unidentified),1,-54
533,Wandering albatross sensu lato PL1,2,-54
534,Wandering albatross sensu lato PL2,2,-53
535,Wandering albatross sensu lato PL3,1,-53
536,Wandering albatross sensu lato PL4,1,-51
537,Cape petrel,1,-51
538,Wedge-tailed shearwater,1,-50
539,Wandering albatross sensu lato PL1,3,-49
540,Wandering albatross sensu lato PL2,1,-48
541,Wandering albatross sensu lato PL3,1,-48
542,Wandering albatross sensu lato PL4,1,-47
543,Cape petrel,1,-47
544,Wandering albatross sensu lato PL1,3,-47
545,Wandering albatross sensu lato PL2,3,-46
546,Wandering albatross sensu lato PL3,2,-46
547,Wandering albatross sensu lato PL4,1,-46
548,Cape petrel,1,-44
549,Wandering albatross sensu lato PL1,3,-44
550,Wandering albatross sensu lato PL2,2,-43
551,Wandering albatross sensu lato PL3,3,-42
552,Cape petrel,1,-42
553,Gadfly petrel (unidentified),4,-42
554,Wandering albatross sensu lato PL1,3,-39.86666666666667
555,Wandering albatross sensu lato PL2,2,-47.6
556,Wandering albatross sensu lato PL3,2,-48.85
557,Wandering albatross sensu lato PL4,1,-51.166666666666664
558,All dark shearwater (unidentified),2,-51.85
559,Wandering albatross sensu lato PL1,2,-51.85
560,Wandering albatross sensu lato PL2,2,-52.416666666666664
561,Wandering albatross sensu lato PL3,3,-52.766666666666666
562,Black-browed albatross sensu lato AD,1,-50.9
563,Giant petrel sensu lato,7,-50.13333333333333
564,Cape petrel,6,-49.65
565,Buller's shearwater,200,-49.1
566,Sooty shearwater,2,-47.11666666666667
567,Wandering albatross sensu lato PL1,2,-46.233333333333334
568,Wandering albatross sensu lato PL2,3,-45.68333333333333
569,Wandering albatross sensu lato PL3,2,-45.333333333333336
570,Black-browed albatross sensu lato AD,1,-43
571,Giant petrel sensu lato,4,-42
572,Cape petrel,7,-42.3
573,Wandering albatross sensu lato PL1,1,-42.083333333333336
574,Wandering albatross sensu lato PL2,2,-34
575,Wandering albatross sensu lato PL3,2,-34
576,Black-browed albatross sensu lato AD,1,-34
577,Black-browed albatross sensu lato SUBAD,1,-35
578,Giant petrel sensu lato,7,-35
579,Cape petrel,5,-35
580,Diving-petrel (unidentified),1,-36
581,Red-billed gull AD,4,-37
582,Giant petrel sensu lato,4,-37
583,Cape petrel,1,-37
584,Fluttering shearwater,11,-38
585,Little shearwater,1,-38
586,Diving-petrel (unidentified),1,-38
587,Giant petrel sensu lato,3,-38
588,Cape petrel,4,-38
589,Prion (unidentified),4,-37
590,Buller's shearwater,1,-37
591,Little shearwater,3,-37
592,Southern black-backed gull AD,10,-36
593,Red-billed gull AD,9,-35
594,Giant petrel sensu lato,3,-35
595,Prion (unidentified),36,-33
596,Fluttering shearwater,13,-33
597,Southern black-backed gull AD,5,-35
598,Red-billed gull AD,7,-35
599,Giant petrel sensu lato,2,-35
600,Cape petrel,1,-35
601,Prion (unidentified),54,-35
602,Flesh-footed shearwater,2,-35
603,Buller's shearwater,41,-35
604,Australasian gannet AD,11,-35
605,Southern black-backed gull AD,4,-35
606,Red-billed gull AD,5,-35
607,Giant petrel sensu lato,4,-35
608,Prion (unidentified),9,-36
609,Flesh-footed shearwater,3,-36
610,Buller's shearwater,52,-36
611,Little shearwater,1,-36
612,Southern black-backed gull AD,1,-37
613,Red-billed gull AD,6,-37
614,Giant petrel sensu lato,4,-37
615,Prion (unidentified),5,-37
616,Flesh-footed shearwater,5,-37
617,Buller's shearwater,29,-37
618,Red-billed gull AD,3,-37
619,Giant petrel sensu lato,2,-37
620,Prion (unidentified),3,-37
621,Australasian gannet AD,1,-38
622,Southern black-backed gull AD,1,-38
623,Wandering albatross sensu lato PL2,1,-38
624,Giant petrel sensu lato,2,-38
625,Prion (unidentified),2,-38
626,Flesh-footed shearwater,1,-38
627,Buller's shearwater,1,-38
628,Giant petrel sensu lato,1,-40
629,Grey-faced petrel,7,-40
630,Flesh-footed shearwater,2,-40
631,Fluttering shearwater,12,-40
632,Little shearwater,9,-41
633,White-faced storm petrel,5,-41
634,Giant petrel sensu lato,2,-41
635,Fluttering shearwater,9,-42
636,Southern black-backed gull AD,35,-43
637,Southern black-backed gull SUBAD,4,-43
638,Giant petrel sensu lato,2,-43
639,Fluttering shearwater,20,-43
640,Little shearwater,2,-43
641,Southern black-backed gull AD,30,-43
642,Southern black-backed gull SUBAD,3,-43
643,Giant petrel sensu lato,1,-43
644,Flesh-footed shearwater,32,-44
645,Fluttering shearwater,27,-44
646,Southern black-backed gull AD,25,-44
647,Wandering albatross sensu lato PL1,1,-45
648,Wandering albatross sensu lato PL3,2,-45
649,Wandering albatross sensu lato PL4,1,-45
650,Grey-faced petrel,7,-45
651,Wandering albatross sensu lato PL3,2,-45
652,Wandering albatross sensu lato PL4,1,-45
653,Gould's petrel,3,-45
